iter	Passed	Remaining
0	134	134388
1	135	67856
2	137	45627
3	139	34666
4	141	28132
5	143	23804
6	145	20592
7	146	18168
8	147	16278
9	149	14761
10	150	13552
11	152	12547
12	154	11740
13	156	11036
14	158	10378
15	159	9797
16	160	9271
17	161	8810
18	162	8411
19	164	8046
20	165	7713
21	166	7420
22	168	7168
23	170	6946
24	172	6713
25	173	6496
26	174	6291
27	176	6115
28	177	5945
29	178	5779
30	179	5625
31	181	5484
32	183	5370
33	185	5256
34	186	5135
35	187	5021
36	188	4910
37	189	4809
38	191	4709
39	192	4622
40	194	4541
41	196	4474
42	197	4405
43	199	4331
44	200	4259
45	202	4190
46	203	4122
47	204	4056
48	205	3993
49	207	3934
50	208	3879
51	209	3828
52	212	3788
53	214	3754
54	215	3708
55	217	3659
56	218	3610
57	219	3566
58	220	3520
59	222	3478
60	223	3437
61	224	3396
62	226	3367
63	228	3334
64	229	3305
65	231	3269
66	232	3235
67	233	3200
68	234	3166
69	235	3132
70	237	3101
71	238	3073
72	241	3064
73	243	3050
74	245	3023
75	246	2996
76	247	2970
77	249	2944
78	250	2919
79	251	2896
80	253	2872
81	254	2850
82	256	2832
83	258	2821
84	260	2800
85	261	2777
86	262	2756
87	264	2736
88	265	2718
89	266	2698
90	268	2680
91	269	2661
92	271	2650
93	273	2639
94	275	2620
95	276	2601
96	277	2583
97	278	2566
98	280	2548
99	281	2531
100	282	2514
101	283	2498
102	285	2488
103	287	2475
104	288	2460
105	289	2443
106	290	2428
107	292	2413
108	293	2397
109	294	2383
110	295	2368
111	296	2353
112	298	2341
113	299	2327
114	301	2317
115	302	2304
116	303	2291
117	304	2278
118	306	2265
119	307	2253
120	308	2240
121	309	2226
122	310	2214
123	311	2202
124	313	2191
125	314	2182
126	315	2171
127	317	2161
128	318	2151
129	319	2140
130	321	2130
131	322	2119
132	323	2109
133	325	2100
134	326	2091
135	327	2081
136	329	2073
137	330	2064
138	332	2056
139	333	2046
140	334	2036
141	335	2025
142	336	2017
143	337	2008
144	339	1999
145	340	1989
146	341	1979
147	342	1971
148	343	1962
149	345	1955
150	346	1947
151	347	1938
152	348	1930
153	349	1922
154	351	1914
155	352	1907
156	354	1900
157	355	1893
158	356	1885
159	357	1877
160	358	1867
161	359	1860
162	360	1853
163	362	1850
164	364	1844
165	365	1838
166	367	1831
167	368	1824
168	369	1817
169	370	1811
170	372	1804
171	373	1799
172	374	1792
173	376	1785
