iter	Passed	Remaining
0	3	339
1	6	327
2	9	308
3	12	290
4	14	284
5	18	284
6	21	283
7	24	279
8	27	274
9	29	269
10	32	266
11	36	268
12	39	266
13	43	265
14	46	263
15	50	262
16	53	261
17	56	257
18	59	254
19	62	250
20	65	246
21	68	242
22	71	239
23	74	237
24	77	233
25	81	231
26	84	228
27	87	225
28	90	222
29	93	218
30	96	215
31	100	212
32	103	209
33	106	206
34	109	203
35	113	201
36	116	198
37	120	195
38	123	192
39	126	189
40	129	186
41	130	180
42	134	177
43	137	175
44	140	172
45	144	169
46	148	167
47	152	165
48	155	161
49	158	158
50	161	155
51	165	152
52	168	149
53	172	146
54	174	142
55	177	139
56	180	136
57	183	132
58	186	129
59	189	126
60	192	123
61	196	120
62	199	116
63	202	113
64	205	110
65	208	107
66	211	104
67	215	101
68	218	98
69	221	94
70	224	91
71	227	88
72	230	85
73	234	82
74	237	79
75	240	75
76	243	72
77	246	69
78	249	66
79	252	63
80	255	60
81	258	56
82	261	53
83	265	50
84	267	47
85	271	44
86	275	41
87	278	37
88	282	34
89	285	31
90	288	28
91	291	25
92	294	22
93	297	19
94	301	15
95	304	12
96	307	9
97	310	6
98	314	3
99	318	0
